restaurant_name,city,location,cuisine,cost_for_two,rating,restaurant_url,region
Gola Sizzlers,Delhi NCR,"Connaught Place (CP), Central Delhi","Multicuisine, Sizzlers",₹1500,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/gola-sizzlers-connaught-place-110349?deal_types[]=postpaid,North India
Chido,Delhi NCR,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1800,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/chido-connaught-place-cp-central-delhi-682108?deal_types[]=postpaid,North India
The Embassy,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹2000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/embassy-connaught-place-110356?deal_types[]=postpaid,North India
Ce La Vie,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1800,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/ce-la-vie-connaught-place-cp-central-delhi-691097?deal_types[]=postpaid,North India
Ghoomar Traditional Thali Restaurant,Delhi NCR,"Connaught Place (CP), Central Delhi","North Indian, Rajasthani",₹1000,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/ghoomar-traditional-thali-connaught-place-cp-central-delhi-662320?deal_types[]=postpaid,North India
Local,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/local-connaught-place-cp-central-delhi-644716?deal_types[]=postpaid,North India
The G T Road,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹2200,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-gt-road-connaught-place-cp-central-delhi-643774?deal_types[]=postpaid,North India
Dhaba - Estd 1986 Delhi,Delhi NCR,"Connaught Place (CP), Central Delhi",North Indian,₹2200,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/dhaba-estd-1986-delhi-connaught-place-cp-central-delhi-671104?deal_types[]=postpaid,North India
Naivedyam,Delhi NCR,"Connaught Place (CP), Central Delhi",South Indian,₹700,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/naivedyam-connaught-place-cp-central-delhi-702184,North India
Aqua,Delhi NCR,"The Park, New Delhi",Multicuisine,₹2800,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/aqua-the-park-connaught-place-cp-110011?deal_types[]=postpaid,North India
Zodiac- All Day Dining,Delhi NCR,"Fortune Inn Grazia, Noida",Indian,₹1800,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/earthen-oven-fortune-inn-grazia-sector-27-112133?deal_types[]=postpaid,North India
Indus Flavour (Proudly Vegetarian),Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/indus-flavour-proudly-vegetarian-connaught-place-cp-central-delhi-708184,North India
Nero,Delhi NCR,"Le Meridien, New Delhi",Cocktail Menu,₹3000,3.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/nero-le-meridien-janpath-112754?deal_types[]=postpaid,North India
Royal Bistro Brewery,Delhi NCR,"The Royal Plaza, New Delhi",Multicuisine,₹2500,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/royal-brewery-bistro-connaught-place-cp-central-delhi-643941?deal_types[]=postpaid,North India
Connaught Clubhouse,Delhi NCR,"Janpath, Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1800,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/connaught-clubhouse-janpath-central-delhi-670761?deal_types[]=postpaid,North India
Barbeque Carnival,Delhi NCR,"Sapphire 90 Mall, Sector 90, Gurgaon",Multicuisine,₹1600,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/barbeque-carnival-sector-90-gurgaon-709915?deal_types[]=postpaid,North India
Spectra,Delhi NCR,"The Leela Ambience, Gurgaon",Multicuisine,₹5000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/spectra-the-leela-ambience-ambience-mall-110441?deal_types[]=postpaid,North India
Kikli,Delhi NCR,"Connaught Place (CP), Central Delhi",North Indian,₹2100,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/kikli-connaught-place-cp-central-delhi-706705,North India
The Darzi Bar & Kitchen,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500,3.7,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-darzi-bar-kitchen-connaught-place-cp-central-delhi-643594?deal_types[]=postpaid,North India
Taste of China,Delhi NCR,"Connaught Place (CP), Central Delhi",Chinese,₹1100,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/taste-of-china-connaught-place-110468?deal_types[]=postpaid,North India
